product,issue,sub_product,complaint_id,timely,company_response,submitted_via,company,date_received,state,sub_issue,Month_Year,count
Checking or savings account,Closing an account,Checking account,4819631,Yes,Closed with explanation,Referral,"WESBANCO BANK, INC.",15-10-21,WV,Can't close your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4822482,Yes,Closed with explanation,Referral,"CITIBANK, N.A.",15-10-21,CT,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4826550,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,20-10-21,CT,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4826918,Yes,Closed with explanation,Postal mail,CAPITAL ONE FINANCIAL CORPORATION,20-10-21,CT,Can't close your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4831512,Yes,Closed with explanation,Web,"AXOS FINANCIAL, INC.",21-10-21,HI,Can't close your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4831696,Yes,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,21-10-21,CT,Fees charged for closing account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4832729,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,21-10-21,KY,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4834638,Yes,Closed with explanation,Web,Chime Financial Inc,22-10-21,KY,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4836287,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",23-10-21,CT,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4839152,Yes,Closed with monetary relief,Web,U.S. BANCORP,24-10-21,WI,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4843411,Yes,Closed with explanation,Web,BARCLAYS BANK DELAWARE,26-10-21,NH,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4845331,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,26-10-21,CT,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4846178,Yes,Closed with explanation,Referral,GOLDMAN SACHS BANK USA,26-10-21,AR,Can't close your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4847173,Yes,Closed with non-monetary relief,Web,"HUNTINGTON NATIONAL BANK, THE",26-10-21,MN,Can't close your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4847261,Yes,Closed with non-monetary relief,Referral,TD BANK US HOLDING COMPANY,25-10-21,DC,Fees charged for closing account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4861056,Yes,Closed with non-monetary relief,Web,TD BANK US HOLDING COMPANY,30-10-21,CT,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4865450,Yes,Closed with explanation,Web,"HUNTINGTON NATIONAL BANK, THE",1/11/2021,MN,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4867473,Yes,Closed with explanation,Referral,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",1/11/2021,CT,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4872494,Yes,Closed with explanation,Phone,FIFTH THIRD FINANCIAL CORPORATION,3/11/2021,WV,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4872818,Yes,Closed with explanation,Phone,BOK FINANCIAL CORP,3/11/2021,OK,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4874942,Yes,Closed with explanation,Referral,"BANK OF AMERICA, NATIONAL ASSOCIATION",2/11/2021,MN,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4882205,Yes,Closed with explanation,Referral,HSBC NORTH AMERICA HOLDINGS INC.,4/11/2021,OR,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4888209,Yes,Closed with explanation,Web,UMPQUA HOLDINGS CORPORATION,8/11/2021,OR,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4888673,Yes,Closed with non-monetary relief,Web,TD BANK US HOLDING COMPANY,8/11/2021,DC,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4891174,Yes,Closed with explanation,Web,PNC Bank N.A.,9/11/2021,UT,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4894568,Yes,Closed with explanation,Web,"HUNTINGTON NATIONAL BANK, THE",9/11/2021,OR,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4897703,Yes,Closed with explanation,Referral,UMPQUA HOLDINGS CORPORATION,9/11/2021,OR,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4897892,Yes,Closed with explanation,Web,"CITIBANK, N.A.",11/11/2021,OR,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4904475,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,12/11/2021,NE,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4905017,Yes,Closed with explanation,Web,KEYCORP,12/11/2021,DC,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4914015,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,15-11-21,CT,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4914092,Yes,Closed with monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",15-11-21,DC,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4916704,Yes,Closed with explanation,Referral,"CITIBANK, N.A.",15-11-21,MT,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4917709,Yes,Closed with monetary relief,Referral,SIMMONS FIRST NATIONAL CORPORATION,15-11-21,OK,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4923069,Yes,Closed with explanation,Web,MoneyLion Inc.,17-11-21,MN,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4929979,Yes,Closed with non-monetary relief,Web,TD BANK US HOLDING COMPANY,19-11-21,DC,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4930208,Yes,Closed with explanation,Phone,Comerica,19-11-21,OK,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4930928,Yes,Closed with monetary relief,Web,NAVY FEDERAL CREDIT UNION,20-11-21,ME,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4937350,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",22-11-21,DC,Can't close your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4937424,Yes,Closed with explanation,Web,U.S. BANCORP,22-11-21,AR,Fees charged for closing account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4948056,Yes,Closed with explanation,Web,Chime Financial Inc,26-11-21,AK,Company closed your account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4957903,Yes,Closed with explanation,Web,"HUNTINGTON NATIONAL BANK, THE",29-11-21,MN,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4966128,Yes,Closed with explanation,Web,U.S. BANCORP,2/12/2021,NE,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4973296,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,3/12/2021,RI,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4983476,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,8/12/2021,OR,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4984911,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,7/12/2021,AR,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4985927,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,7/12/2021,OK,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4990426,Yes,Closed with monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",9/12/2021,CT,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4992429,Yes,Closed with explanation,Referral,FIRSTBANK,26-11-21,CO,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,Checking account,4993574,Yes,Closed with explanation,Web,Netspend Corporation,9/12/2021,AR,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,4994298,Yes,Closed with explanation,Web,FIRST NATIONAL BANK OF OMAHA,9/12/2021,NE,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5000337,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",12/12/2021,ME,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5000981,Yes,Closed with explanation,Web,BANK OF HAWAII CORPORATION,13-12-21,MP,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5001787,Yes,Closed with monetary relief,Web,WELLS FARGO & COMPANY,13-12-21,CO,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5001925,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,13-12-21,DE,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5002700,Yes,Closed with explanation,Web,"CITIBANK, N.A.",13-12-21,MN,Funds not received from closed account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5008427,Yes,Closed with explanation,Web,Chime Financial Inc,14-12-21,ME,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5012994,Yes,Closed with explanation,Web,REGIONS FINANCIAL CORPORATION,15-12-21,AR,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5013233,Yes,Closed with explanation,Web,Chime Financial Inc,15-12-21,CO,Company closed your account,31-12-21,1
Checking or savings account,Closing an account,Checking account,5015551,Yes,Closed with explanation,Web,U.S. BANCORP,16-12-21,CO,Can't close your account,31-12-21,1
